"","Basal.like","HER2.enriched","Luminal.A","Luminal.B","Contrib.Basal.like","Contrib.HER2.enriched","Contrib.Luminal.A","Contrib.Luminal.B","Contrib","GroupContrib","color","importance"
"RAD51",0.633542726250633,0.83648522936109,-0.601939629211776,0.244232319928753,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.111680862410063
"DSN1",0.181290848438426,0.309508914968117,-0.541099236024411,0.573353202982548,FALSE,FALSE,FALSE,TRUE,FALSE,"Luminal B","#009E73",-0.110836710972864
"NEIL3",0.591308520550868,0.53991868463889,-0.590381415984237,0.49792268970007,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.108493768452591
"BIRC5",0.925783551260954,0.191097646794225,-0.754890725480511,0.25005452111217,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.103507526247833
"SPC25",0.821575061467701,0.663044496482719,-0.638815829171954,0.272865720893003,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.101568200538219
"ESPL1",0.64394661587752,0.620125487542247,-0.659226009697643,0.547520970640129,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0997317884762369
"TK1",0.443370034019145,0.553611343466843,-0.608715514997849,0.309163221133257,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0948694982833875
"KNL1",0.58015394580465,0.556560704629043,-0.671497746306336,0.4287423760623,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0935589216042371
"KIF4A",1.11823569296148,0.644349215846919,-0.598032680781141,0.483912950703314,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.092811712217995
"ORC6",1.03662483121903,0.786001973003238,-0.748636764574862,0.213561944321198,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0911575527101517
"ASF1B",0.548508642256274,0.721931531447423,-0.622034009970262,0.552714332363546,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0906370315769648
"CDCA5",1.1679181589712,0.810204594063381,-0.81502707622521,0.261993774856213,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0905794890130435
"ECT2",0.577529046362983,0.504305487272612,-0.529786036002252,0.376364621191767,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0830567699674545
"POLQ",0.98364735657239,0.605306911490974,-0.690877009832497,0.310198199622785,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0820183318797373
"ASPM",1.06579660311239,0.478549951703051,-0.610767481328127,0.411385838971788,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0815200603698394
"NCAPH",0.958751940531704,0.742819659827604,-0.642518370057656,0.331665332033404,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0766757268428637
"FAM83D",1.10266778617714,0.447897341959145,-0.728247133864717,0.302289310504312,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0751270656570513
"TROAP",0.639855302379856,0.608581480382955,-0.712592675784304,0.224318882180863,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0746237304414372
"CENPE",1.09178404301847,0.485278977157887,-0.651946756567551,0.377464368482482,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0710014540636293
"CLSPN",0.995966389564967,0.660723213367776,-0.692670287305605,0.360494850708119,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0704258812267874
"CDC25C",0.586397740661247,0.412568599513831,-0.578179553246841,0.424706573061845,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0687745478023919
"PTTG1",1.0752923687571,0.300428820681298,-0.630511113040463,0.44369840424608,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0683202231718884
"MAD2L1",0.79250774407112,0.351870851043818,-0.697349594926385,0.460553079635171,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.065175238584116
"GTSE1",1.18643516186197,0.769924087448356,-0.748635025915352,0.247266743813976,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0649466686531224
"CEP55",1.17754888202158,0.773056376748859,-0.697142650435893,0.28855992923567,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0644488097429471
"GNPNAT1",-0.535225405637366,0.999275087502331,-0.297048441680136,0.311985902775822,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0637739401639299
"PLK4",0.766263560895052,0.44688829040056,-0.655558899530999,0.41316659614829,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0622374407271517
"TRAIP",0.512762340242217,0.326174148566887,-0.554638639384136,0.458794351062842,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0616955803272325
"CENPI",1.13853545198394,0.471067248359472,-0.643031652800782,0.393944471472384,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0608397067174557
"PELI2",-0.123294680134964,-0.634700028999454,0.529069896778213,-0.599657828381743,FALSE,FALSE,TRUE,FALSE,FALSE,"Luminal A","#C2C2C2",0.0608109738870866
"CENPK",0.736532026208789,0.00784357959862862,-0.454345439719233,0.601608321185176,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0607098480420509
"OIP5",0.630692409195855,0.787155784425709,-0.55338203689846,0.365642009497725,FALSE,TRUE,FALSE,FALSE,FALSE,"HER2-enriched","#F68B33",-0.0600589849121528
"KIF14",0.98296395444219,0.261721452991944,-0.612132204479713,0.463139038945293,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0589207204337414
"AURKB",1.33033741457805,0.54040312633707,-0.73881881864707,0.287823678414254,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0585512059883272
"KIF4B",0.813862153921323,0.422016665105726,-0.690574408988774,0.491214911002948,TRUE,FALSE,FALSE,FALSE,FALSE,"Basal-like","#388ECC",-0.0565141887130072
